ephys_roi_id,asset_id,path,size,sha256,content_url
1380275537,42625da0-8c0d-4fc7-a074-c55f6e4b1ae1,sourcedata/raw/sub-1375555052/sub-1375555052_ses-1380275537_icephys.nwb,94901843,7992d534f8644d921b538f97dec4fb8ae69318db7bf20f3e449e54502023364c,https://dandiarchive.s3.amazonaws.com/blobs/4b7/642/4b7642f3-6b89-4ec3-bc75-53c48837c77e
1380276138,84bc651e-35cf-49e1-b81b-ba2fc2617418,sourcedata/raw/sub-1375555052/sub-1375555052_ses-1380276138_icephys.nwb,77774928,a01ff72959bdcb90b75bab21b0e01c8766491a112e9b24709fcf7966f3e52b89,https://dandiarchive.s3.amazonaws.com/blobs/449/f72/449f7206-e6ef-44b6-8195-f782db5c5ddb
1380283018,acd5320a-8903-4f7e-b18d-997763cf66fa,sourcedata/raw/sub-1375555052/sub-1375555052_ses-1380283018_icephys.nwb,43495321,6b435209282e927e9696ce4bac8a18773a3e241c71cbfe9e8e6a2e396b33e129,https://dandiarchive.s3.amazonaws.com/blobs/53f/836/53f83673-622b-4822-a4f7-3a35f6eb462f
1380286647,9d7c98c0-3ecc-4437-bcc0-8429a09ad76b,sourcedata/raw/sub-1375555052/sub-1375555052_ses-1380286647_icephys.nwb,74924166,126c5b6568384d3b31134622270d1be06ae744846430f879f355652553c18d14,https://dandiarchive.s3.amazonaws.com/blobs/16c/808/16c80807-22ed-420e-9539-f62410c31a66
1380296153,9f4b867f-53c1-4868-bb2e-1d6cfb7087a0,sourcedata/raw/sub-1375555052/sub-1375555052_ses-1380296153_icephys.nwb,103286358,9eaac4203ca5a5bc0f275c9195ea21442c6fa2d7fbb15993702cf6efef7ccab7,https://dandiarchive.s3.amazonaws.com/blobs/5c5/21a/5c521a46-3a76-4af2-9158-c768937d0d51
1380304339,5596953c-e148-4a1f-8237-c26790cdaf6a,sourcedata/raw/sub-1375555052/sub-1375555052_ses-1380304339_icephys.nwb,59795419,7fa7dfa4942c5c80fd1cd36da0b47fce0062823347f6eb1b9deb9bf64deb2b4b,https://dandiarchive.s3.amazonaws.com/blobs/932/64b/93264b6d-c1e9-4e6a-b2fb-da70b55162fe
1388216355,e4bcf22d-e155-40db-9933-a1ca740a5cbf,sourcedata/raw/sub-1383440053/sub-1383440053_ses-1388216355_icephys.nwb,39368672,52e1c62aa64be6c60866091281c9bd2914d794d15a3408da1f16e4df58afa7b1,https://dandiarchive.s3.amazonaws.com/blobs/45d/09b/45d09b8a-c729-4cda-bafa-371b20738d61
1388224840,9c45946c-74fe-49c9-82f9-18ee623f5670,sourcedata/raw/sub-1383440053/sub-1383440053_ses-1388224840_icephys.nwb,54777760,e092f74e32fc7a1b4701c4852430165bdc945a66d310bf1603eee22cafad26e6,https://dandiarchive.s3.amazonaws.com/blobs/b3e/94f/b3e94f9c-f526-43b9-b511-19b21a338648
1388239233,b6f88a78-97a5-4dc2-a1b7-f09c275e1b93,sourcedata/raw/sub-1383440053/sub-1383440053_ses-1388239233_icephys.nwb,62569344,55609608e1736f8f2f4e459663e83f3b01faf969cd20bdec0ee0e3929416b8fa,https://dandiarchive.s3.amazonaws.com/blobs/b6b/02e/b6b02e19-2544-4f70-a90a-063e9e51697e
1388478490,ac389b5e-ccc2-4e47-9b02-85f41a58eae3,sourcedata/raw/sub-1383440043/sub-1383440043_ses-1388478490_icephys.nwb,57478630,03335a1ca52433924b089d293e891b11fa795e7bbfc23c517d27bb44b17bf7ce,https://dandiarchive.s3.amazonaws.com/blobs/63b/a74/63ba7461-7f3f-4ee0-b613-ed8ad816bc0b
